Search Term,Event count,Total users,Event count per active user,Total revenue
eiswürfel,16,13,1.2307692307692300,0
focaccia,16,11,1.4545454545454500,0
frittieröl,16,14,1.1428571428571400,0
gyoza,16,8,2,0
hamburger,16,6,2.6666666666666700,0
leisi,16,13,1.2307692307692300,0
mix salat,16,9,1.7777777777777800,0
ottiger,16,12,1.3333333333333300,0
pepperoni,16,13,1.2307692307692300,0
pfeffer,16,12,1.3333333333333300,0
polenta,16,13,1.2307692307692300,0
radischen,16,12,1.3333333333333300,0
rosso,16,9,1.7777777777777800,0
saurer halbrahm,16,11,1.4545454545454500,0
schlagrahm,16,9,1.7777777777777800,0
schupfnudel,16,11,1.4545454545454500,0
strudel,16,14,1.1428571428571400,0
vacherin,16,10,1.6,0
vegi,16,8,2,0
weisskohl,16,12,1.3333333333333300,0
66360,15,4,3.75,0
78480,15,3,5,0
Cherrytomaten,15,11,1.3636363636363600,0
Feta,15,12,1.25,0
Hüttenkäse,15,13,1.1538461538461500,0
Kase,15,3,5,0
Kopfsalat,15,8,1.875,0
Mischpilze,15,12,1.25,0
Pflaumen,15,12,1.25,0
Salat fix fertig,15,1,15,0
Sauerrahm,15,13,1.1538461538461500,0
Spätzli,15,8,1.875,0
Strauchtomaten,15,9,1.6666666666666700,0
Tofu,15,11,1.3636363636363600,0
bio,15,3,5,0
buns,15,10,1.5,0
cailler,15,8,1.875,0
cake,15,10,1.5,0
caramel,15,8,1.875,0
champi,15,10,1.5,0
cranberry,15,9,1.6666666666666700,0
de cecco,15,5,3,0
espro,15,8,1.875,0
frigemo,15,4,3.75,0
gerber,15,11,1.3636363636363600,0
halbrahm,15,11,1.3636363636363600,0
kabis rot,15,14,1.0714285714285700,0
kartoffel mehlig,15,8,1.875,0
kartoffeln raclette,15,10,1.5,0
kiri,15,12,1.25,0
krautstiel,15,13,1.1538461538461500,0
mandarin,15,11,1.3636363636363600,0
micro,15,10,1.5,0
morcheln,15,11,1.3636363636363600,0
ovomaltine,15,13,1.1538461538461500,0
peperoni grün,15,11,1.3636363636363600,0
pineapple,15,2,7.5,0
rauchlachs,15,7,2.142857142857140,0
rosti,15,5,3,0
räben,15,13,1.1538461538461500,0
saft,15,9,1.6666666666666700,0
sorbet,15,10,1.5,0
stern,15,11,1.3636363636363600,0
tortellini,15,13,1.1538461538461500,0
tortillas,15,9,1.6666666666666700,0
traiteur,15,10,1.5,0
trauben blau,15,14,1.0714285714285700,0
vanille glace,15,10,1.5,0
wein,15,8,1.875,0
1030,14,4,3.5,0
10310,14,8,1.75,0
27030,14,2,7,0
31010,14,4,3.5,0
46130,14,1,14,0
72829,14,1,14,0
Auberginen,14,13,1.0769230769230800,0
Banane,14,9,1.5555555555555600,0
Chinakohl,14,12,1.1666666666666700,0
Federkohl,14,10,1.4,0
Kartoffeln festkochend,14,8,1.75,0
Lollo,14,11,1.2727272727272700,0
Meerrettich,14,10,1.4,0
Napf Chäsi,14,2,7,0
Oliven,14,7,2,0
Schinken,14,11,1.2727272727272700,0
